model,dataset,mae,mape,rmse,split,inLen,outLen,tags,horizon,source
STID,SD,15.15,9.82,25.29,6:2:2,12,12,"survey,2019",3,
STID,SD,17.95,11.93,30.39,6:2:2,12,12,"survey,2019",6,
STID,SD,21.82,15.09,38.63,6:2:2,12,12,"survey,2019",12,
STID,SD,17.86,11.94,31.0,6:2:2,12,12,"survey,2019",-1,
GWNET,SD,15.24,9.86,25.13,6:2:2,12,12,"survey,2019",3,
GWNET,SD,17.74,11.7,29.51,6:2:2,12,12,"survey,2019",6,
GWNET,SD,21.56,15.13,36.82,6:2:2,12,12,"survey,2019",12,
GWNET,SD,17.74,11.88,29.62,6:2:2,12,12,"survey,2019",-1,
AGCRN,SD,15.71,11.48,27.85,6:2:2,12,12,"survey,2019",3,
AGCRN,SD,18.06,13.06,31.51,6:2:2,12,12,"survey,2019",6,
AGCRN,SD,21.86,16.52,39.44,6:2:2,12,12,"survey,2019",12,
AGCRN,SD,18.09,13.28,32.01,6:2:2,12,12,"survey,2019",-1,
STGODE,SD,16.75,11.0,28.04,6:2:2,12,12,"survey,2019",3,
STGODE,SD,19.71,13.16,33.56,6:2:2,12,12,"survey,2019",6,
STGODE,SD,23.67,16.58,42.12,6:2:2,12,12,"survey,2019",12,
STGODE,SD,19.55,13.22,33.57,6:2:2,12,12,"survey,2019",-1,
RPMixer,SD,18.54,11.81,30.33,6:2:2,12,12,"survey,2019",3,
RPMixer,SD,24.55,16.51,40.04,6:2:2,12,12,"survey,2019",6,
RPMixer,SD,35.9,27.67,58.31,6:2:2,12,12,"survey,2019",12,
RPMixer,SD,25.25,17.64,42.56,6:2:2,12,12,"survey,2019",-1,
DSTAGNN,SD,18.13,11.38,28.96,6:2:2,12,12,"survey,2019",3,
DSTAGNN,SD,21.71,13.93,34.44,6:2:2,12,12,"survey,2019",6,
DSTAGNN,SD,27.51,19.34,43.95,6:2:2,12,12,"survey,2019",12,
DSTAGNN,SD,21.82,14.4,34.68,6:2:2,12,12,"survey,2019",-1,
D2STGNN,SD,14.92,9.56,24.95,6:2:2,12,12,"survey,2019",3,
D2STGNN,SD,17.52,11.36,29.24,6:2:2,12,12,"survey,2019",6,
D2STGNN,SD,22.62,14.86,37.14,6:2:2,12,12,"survey,2019",12,
D2STGNN,SD,17.85,11.54,29.51,6:2:2,12,12,"survey,2019",-1,
DGCRN,SD,15.34,10.01,25.35,6:2:2,12,12,"survey,2019",3,
DGCRN,SD,18.05,11.9,30.06,6:2:2,12,12,"survey,2019",6,
DGCRN,SD,22.06,15.27,37.51,6:2:2,12,12,"survey,2019",12,
DGCRN,SD,18.02,12.07,30.09,6:2:2,12,12,"survey,2019",-1,
STWave,SD,15.8,10.34,25.89,6:2:2,12,12,"survey,2019",3,
STWave,SD,18.18,11.96,30.03,6:2:2,12,12,"survey,2019",6,
STWave,SD,21.98,15.3,36.99,6:2:2,12,12,"survey,2019",12,
STWave,SD,18.22,12.2,30.12,6:2:2,12,12,"survey,2019",-1,
BigST,SD,16.42,10.86,26.99,6:2:2,12,12,"survey,2019",3,
BigST,SD,18.88,13.24,31.6,6:2:2,12,12,"survey,2019",6,
BigST,SD,23.0,15.92,38.59,6:2:2,12,12,"survey,2019",12,
BigST,SD,18.8,12.91,31.73,6:2:2,12,12,"survey,2019",-1,
PatchSTG,SD,14.53,9.22,24.34,6:2:2,12,12,"survey,2019",3,
PatchSTG,SD,16.86,11.11,28.63,6:2:2,12,12,"survey,2019",6,
PatchSTG,SD,20.66,14.72,36.27,6:2:2,12,12,"survey,2019",12,
PatchSTG,SD,16.9,11.23,29.27,6:2:2,12,12,"survey,2019",-1,
STID,GBA,17.36,13.28,29.39,6:2:2,12,12,"survey,2019",3,
STID,GBA,20.45,16.03,34.51,6:2:2,12,12,"survey,2019",6,
STID,GBA,24.38,19.9,41.33,6:2:2,12,12,"survey,2019",12,
STID,GBA,20.22,15.91,34.61,6:2:2,12,12,"survey,2019",-1,
GWNET,GBA,17.85,13.92,29.12,6:2:2,12,12,"survey,2019",3,
GWNET,GBA,21.11,17.79,33.69,6:2:2,12,12,"survey,2019",6,
GWNET,GBA,25.58,23.48,40.19,6:2:2,12,12,"survey,2019",12,
GWNET,GBA,20.91,17.66,33.41,6:2:2,12,12,"survey,2019",-1,
AGCRN,GBA,18.31,14.27,30.24,6:2:2,12,12,"survey,2019",3,
AGCRN,GBA,21.27,16.89,34.72,6:2:2,12,12,"survey,2019",6,
AGCRN,GBA,24.85,20.8,40.18,6:2:2,12,12,"survey,2019",12,
AGCRN,GBA,21.01,16.9,34.25,6:2:2,12,12,"survey,2019",-1,
STGODE,GBA,18.84,15.43,30.51,6:2:2,12,12,"survey,2019",3,
STGODE,GBA,22.04,18.42,35.61,6:2:2,12,12,"survey,2019",6,
STGODE,GBA,26.22,22.83,42.9,6:2:2,12,12,"survey,2019",12,
STGODE,GBA,21.79,18.26,35.37,6:2:2,12,12,"survey,2019",-1,
RPMixer,GBA,20.31,15.64,33.34,6:2:2,12,12,"survey,2019",3,
RPMixer,GBA,26.95,22.75,44.02,6:2:2,12,12,"survey,2019",6,
RPMixer,GBA,39.66,37.35,66.44,6:2:2,12,12,"survey,2019",12,
RPMixer,GBA,27.77,23.87,47.72,6:2:2,12,12,"survey,2019",-1,
DSTAGNN,GBA,19.73,15.42,31.39,6:2:2,12,12,"survey,2019",3,
DSTAGNN,GBA,24.21,20.99,37.7,6:2:2,12,12,"survey,2019",6,
DSTAGNN,GBA,30.12,28.16,46.4,6:2:2,12,12,"survey,2019",12,
DSTAGNN,GBA,23.82,20.16,37.29,6:2:2,12,12,"survey,2019",-1,
D2STGNN,GBA,17.54,12.12,28.94,6:2:2,12,12,"survey,2019",3,
D2STGNN,GBA,20.92,14.89,33.92,6:2:2,12,12,"survey,2019",6,
D2STGNN,GBA,25.48,19.83,40.99,6:2:2,12,12,"survey,2019",12,
D2STGNN,GBA,20.71,15.04,33.65,6:2:2,12,12,"survey,2019",-1,
DGCRN,GBA,18.02,14.13,29.49,6:2:2,12,12,"survey,2019",3,
DGCRN,GBA,21.08,16.94,34.03,6:2:2,12,12,"survey,2019",6,
DGCRN,GBA,25.25,21.15,40.63,6:2:2,12,12,"survey,2019",12,
DGCRN,GBA,20.91,16.88,33.83,6:2:2,12,12,"survey,2019",-1,
STWave,GBA,17.95,13.01,29.42,6:2:2,12,12,"survey,2019",3,
STWave,GBA,20.99,15.62,34.01,6:2:2,12,12,"survey,2019",6,
STWave,GBA,24.96,20.08,40.31,6:2:2,12,12,"survey,2019",12,
STWave,GBA,20.81,15.76,33.77,6:2:2,12,12,"survey,2019",-1,
BigST,GBA,18.7,15.55,30.27,6:2:2,12,12,"survey,2019",3,
BigST,GBA,22.21,18.54,35.33,6:2:2,12,12,"survey,2019",6,
BigST,GBA,26.98,23.68,42.73,6:2:2,12,12,"survey,2019",12,
BigST,GBA,21.95,18.5,35.54,6:2:2,12,12,"survey,2019",-1,
PatchSTG,GBA,16.81,12.25,28.71,6:2:2,12,12,"survey,2019",3,
PatchSTG,GBA,19.68,14.51,33.09,6:2:2,12,12,"survey,2019",6,
PatchSTG,GBA,23.49,18.93,39.23,6:2:2,12,12,"survey,2019",12,
PatchSTG,GBA,19.5,14.64,33.16,6:2:2,12,12,"survey,2019",-1,
STID,GLA,16.54,10.0,27.73,6:2:2,12,12,"survey,2019",3,
STID,GLA,19.98,12.38,34.23,6:2:2,12,12,"survey,2019",6,
STID,GLA,24.29,16.02,42.5,6:2:2,12,12,"survey,2019",12,
STID,GLA,19.76,12.41,34.56,6:2:2,12,12,"survey,2019",-1,
GWNET,GLA,17.28,10.18,27.68,6:2:2,12,12,"survey,2019",3,
GWNET,GLA,21.31,13.02,33.7,6:2:2,12,12,"survey,2019",6,
GWNET,GLA,26.99,17.64,42.51,6:2:2,12,12,"survey,2019",12,
GWNET,GLA,21.2,13.18,33.58,6:2:2,12,12,"survey,2019",-1,
AGCRN,GLA,17.27,10.78,29.7,6:2:2,12,12,"survey,2019",3,
AGCRN,GLA,20.38,12.7,34.82,6:2:2,12,12,"survey,2019",6,
AGCRN,GLA,24.59,16.03,42.59,6:2:2,12,12,"survey,2019",12,
AGCRN,GLA,20.25,12.87,34.84,6:2:2,12,12,"survey,2019",-1,
STGODE,GLA,18.1,11.18,30.02,6:2:2,12,12,"survey,2019",3,
STGODE,GLA,21.71,13.64,36.46,6:2:2,12,12,"survey,2019",6,
STGODE,GLA,26.45,17.6,45.09,6:2:2,12,12,"survey,2019",12,
STGODE,GLA,21.49,13.72,36.14,6:2:2,12,12,"survey,2019",-1,
RPMixer,GLA,19.94,11.53,32.54,6:2:2,12,12,"survey,2019",3,
RPMixer,GLA,27.1,16.58,44.87,6:2:2,12,12,"survey,2019",6,
RPMixer,GLA,40.13,27.93,69.11,6:2:2,12,12,"survey,2019",12,
RPMixer,GLA,27.87,17.66,48.96,6:2:2,12,12,"survey,2019",-1,
DSTAGNN,GLA,19.49,11.5,31.08,6:2:2,12,12,"survey,2019",3,
DSTAGNN,GLA,24.27,15.24,38.43,6:2:2,12,12,"survey,2019",6,
DSTAGNN,GLA,30.92,20.45,48.52,6:2:2,12,12,"survey,2019",12,
DSTAGNN,GLA,24.13,15.07,38.15,6:2:2,12,12,"survey,2019",-1,
STWave,GLA,17.48,10.06,28.05,6:2:2,12,12,"survey,2019",3,
STWave,GLA,21.08,12.56,33.58,6:2:2,12,12,"survey,2019",6,
STWave,GLA,25.82,16.51,41.28,6:2:2,12,12,"survey,2019",12,
STWave,GLA,20.96,12.7,33.48,6:2:2,12,12,"survey,2019",-1,
BigST,GLA,18.38,11.68,29.4,6:2:2,12,12,"survey,2019",3,
BigST,GLA,22.22,14.48,35.53,6:2:2,12,12,"survey,2019",6,
BigST,GLA,27.98,19.65,44.74,6:2:2,12,12,"survey,2019",12,
BigST,GLA,22.08,14.57,36.0,6:2:2,12,12,"survey,2019",-1,
PatchSTG,GLA,15.84,9.27,26.34,6:2:2,12,12,"survey,2019",3,
PatchSTG,GLA,19.06,11.3,31.85,6:2:2,12,12,"survey,2019",6,
PatchSTG,GLA,23.32,14.6,39.64,6:2:2,12,12,"survey,2019",12,
PatchSTG,GLA,18.96,11.44,32.33,6:2:2,12,12,"survey,2019",-1,
STID,CA,15.51,11.26,26.23,6:2:2,12,12,"survey,2019",3,
STID,CA,18.53,13.82,31.56,6:2:2,12,12,"survey,2019",6,
STID,CA,22.63,17.59,39.37,6:2:2,12,12,"survey,2019",12,
STID,CA,18.41,13.82,32.0,6:2:2,12,12,"survey,2019",-1,
GWNET,CA,17.14,12.62,27.81,6:2:2,12,12,"survey,2019",3,
GWNET,CA,21.68,17.14,34.16,6:2:2,12,12,"survey,2019",6,
GWNET,CA,28.58,24.24,44.13,6:2:2,12,12,"survey,2019",12,
GWNET,CA,21.72,17.4,34.2,6:2:2,12,12,"survey,2019",-1,
STGODE,CA,17.57,13.91,29.91,6:2:2,12,12,"survey,2019",3,
STGODE,CA,20.98,16.88,36.62,6:2:2,12,12,"survey,2019",6,
STGODE,CA,25.46,21.0,45.99,6:2:2,12,12,"survey,2019",12,
STGODE,CA,20.77,16.8,36.6,6:2:2,12,12,"survey,2019",-1,
RPMixer,CA,18.18,12.86,30.49,6:2:2,12,12,"survey,2019",3,
RPMixer,CA,24.33,18.34,41.38,6:2:2,12,12,"survey,2019",6,
RPMixer,CA,35.74,30.38,62.12,6:2:2,12,12,"survey,2019",12,
RPMixer,CA,25.07,19.47,44.75,6:2:2,12,12,"survey,2019",-1,
STWave,CA,16.77,12.2,26.98,6:2:2,12,12,"survey,2019",3,
STWave,CA,18.97,14.4,30.69,6:2:2,12,12,"survey,2019",6,
STWave,CA,25.36,19.01,38.77,6:2:2,12,12,"survey,2019",12,
STWave,CA,19.69,14.58,31.58,6:2:2,12,12,"survey,2019",-1,
BigST,CA,17.15,13.03,27.92,6:2:2,12,12,"survey,2019",3,
BigST,CA,20.44,15.87,33.16,6:2:2,12,12,"survey,2019",6,
BigST,CA,25.49,20.97,41.09,6:2:2,12,12,"survey,2019",12,
BigST,CA,20.32,15.91,33.45,6:2:2,12,12,"survey,2019",-1,
PatchSTG,CA,14.69,10.51,24.82,6:2:2,12,12,"survey,2019",3,
PatchSTG,CA,17.41,12.83,29.43,6:2:2,12,12,"survey,2019",6,
PatchSTG,CA,21.2,16.0,36.13,6:2:2,12,12,"survey,2019",12,
PatchSTG,CA,17.35,12.79,29.79,6:2:2,12,12,"survey,2019",-1,
GWNet,SD,15.24,9.86,25.13,6:2:2,12,12,"survey,2019",3,
GWNet,SD,17.74,11.7,29.51,6:2:2,12,12,"survey,2019",6,
GWNet,SD,21.56,15.13,36.82,6:2:2,12,12,"survey,2019",12,
GWNet,SD,17.74,11.88,29.62,6:2:2,12,12,"survey,2019",-1,
GSNet,SD,17.33,10.88,27.62,6:2:2,12,12,"survey,2019",3,
GSNet,SD,21.69,13.75,34.01,6:2:2,12,12,"survey,2019",6,
GSNet,SD,30.95,20.2,45.82,6:2:2,12,12,"survey,2019",12,
GSNet,SD,22.38,14.23,34.43,6:2:2,12,12,"survey,2019",-1,
RAGL,SD,13.87,9.01,23.42,6:2:2,12,12,"survey,2019",3,
RAGL,SD,16.09,10.63,27.35,6:2:2,12,12,"survey,2019",6,
RAGL,SD,19.9,13.35,33.94,6:2:2,12,12,"survey,2019",12,
RAGL,SD,16.16,10.62,27.4,6:2:2,12,12,"survey,2019",-1,
GWNet,GBA,17.85,13.92,29.12,6:2:2,12,12,"survey,2019",3,
GWNet,GBA,21.11,17.79,33.69,6:2:2,12,12,"survey,2019",6,
GWNet,GBA,25.58,23.48,40.19,6:2:2,12,12,"survey,2019",12,
GWNet,GBA,20.91,17.66,33.41,6:2:2,12,12,"survey,2019",-1,
STGODE,GBA,18.84,15.34,30.51,6:2:2,12,12,"survey,2019",3,
D2STGNN,GBA,25.48,19.38,40.99,6:2:2,12,12,"survey,2019",12,
GSNet,GBA,18.75,14.49,30.3,6:2:2,12,12,"survey,2019",3,
GSNet,GBA,22.59,18.18,36.07,6:2:2,12,12,"survey,2019",6,
GSNet,GBA,27.57,22.32,43.41,6:2:2,12,12,"survey,2019",12,
GSNet,GBA,22.27,17.68,35.56,6:2:2,12,12,"survey,2019",-1,
RAGL,GBA,15.71,10.29,27.58,6:2:2,12,12,"survey,2019",3,
RAGL,GBA,18.4,12.23,31.89,6:2:2,12,12,"survey,2019",6,
RAGL,GBA,22.48,15.92,38.39,6:2:2,12,12,"survey,2019",12,
RAGL,GBA,18.33,12.18,31.65,6:2:2,12,12,"survey,2019",-1,
GWNet,GLA,17.28,10.18,27.68,6:2:2,12,12,"survey,2019",3,
GWNet,GLA,21.31,13.02,33.7,6:2:2,12,12,"survey,2019",6,
GWNet,GLA,26.99,17.64,42.51,6:2:2,12,12,"survey,2019",12,
GWNet,GLA,21.2,13.18,33.58,6:2:2,12,12,"survey,2019",-1,
GSNet,GLA,18.35,11.06,29.17,6:2:2,12,12,"survey,2019",3,
GSNet,GLA,22.58,14.0,35.71,6:2:2,12,12,"survey,2019",6,
GSNet,GLA,28.13,19.24,43.97,6:2:2,12,12,"survey,2019",12,
GSNet,GLA,22.3,14.21,35.22,6:2:2,12,12,"survey,2019",-1,
RAGL,GLA,15.06,8.39,25.66,6:2:2,12,12,"survey,2019",3,
RAGL,GLA,17.84,10.09,30.24,6:2:2,12,12,"survey,2019",6,
RAGL,GLA,21.72,12.98,36.73,6:2:2,12,12,"survey,2019",12,
RAGL,GLA,17.75,10.2,30.11,6:2:2,12,12,"survey,2019",-1,
GWNet,CA,17.14,12.62,27.81,6:2:2,12,12,"survey,2019",3,
GWNet,CA,21.68,17.14,34.16,6:2:2,12,12,"survey,2019",6,
GWNet,CA,28.58,24.24,44.13,6:2:2,12,12,"survey,2019",12,
GWNet,CA,21.72,17.4,34.2,6:2:2,12,12,"survey,2019",-1,
GSNet,CA,17.31,12.71,27.69,6:2:2,12,12,"survey,2019",3,
GSNet,CA,20.79,15.78,32.99,6:2:2,12,12,"survey,2019",6,
GSNet,CA,25.41,19.68,40.01,6:2:2,12,12,"survey,2019",12,
GSNet,CA,20.52,15.47,32.58,6:2:2,12,12,"survey,2019",-1,
RAGL,CA,13.98,9.12,24.22,6:2:2,12,12,"survey,2019",3,
RAGL,CA,16.42,10.85,28.34,6:2:2,12,12,"survey,2019",6,
RAGL,CA,20.03,13.83,34.24,6:2:2,12,12,"survey,2019",12,
RAGL,CA,16.4,10.96,28.23,6:2:2,12,12,"survey,2019",-1,
ASTGCN,SD,20.09,13.61,32.13,6:2:2,12,12,"survey,2019",3,
ASTGCN,SD,25.58,17.44,40.41,6:2:2,12,12,"survey,2019",6,
ASTGCN,SD,32.86,26.0,52.05,6:2:2,12,12,"survey,2019",12,
ASTGCN,SD,25.1,18.05,39.91,6:2:2,12,12,"survey,2019",-1,
DCRNN,SD,17.01,10.96,27.33,6:2:2,12,12,"survey,2019",3,
DCRNN,SD,20.8,13.72,33.03,6:2:2,12,12,"survey,2019",6,
DCRNN,SD,26.77,18.57,42.49,6:2:2,12,12,"survey,2019",12,
DCRNN,SD,20.86,13.94,33.13,6:2:2,12,12,"survey,2019",-1,
STGCN,SD,18.23,13.75,30.6,6:2:2,12,12,"survey,2019",3,
STGCN,SD,20.34,15.1,34.42,6:2:2,12,12,"survey,2019",6,
STGCN,SD,23.56,17.08,41.7,6:2:2,12,12,"survey,2019",12,
STGCN,SD,20.35,15.13,34.7,6:2:2,12,12,"survey,2019",-1,
ASTGCN,GLA,21.11,12.29,34.04,6:2:2,12,12,"survey,2019",3,
ASTGCN,GLA,28.65,17.79,44.67,6:2:2,12,12,"survey,2019",6,
ASTGCN,GLA,39.39,28.03,59.31,6:2:2,12,12,"survey,2019",12,
ASTGCN,GLA,28.44,18.62,44.13,6:2:2,12,12,"survey,2019",-1,
DCRNN,GLA,18.33,10.78,29.13,6:2:2,12,12,"survey,2019",3,
DCRNN,GLA,22.7,13.74,35.55,6:2:2,12,12,"survey,2019",6,
DCRNN,GLA,29.45,18.87,45.88,6:2:2,12,12,"survey,2019",12,
DCRNN,GLA,22.73,13.97,35.65,6:2:2,12,12,"survey,2019",-1,
STGCN,GLA,19.87,12.58,34.01,6:2:2,12,12,"survey,2019",3,
STGCN,GLA,22.54,13.94,38.57,6:2:2,12,12,"survey,2019",6,
STGCN,GLA,26.48,16.92,45.61,6:2:2,12,12,"survey,2019",12,
STGCN,GLA,22.48,14.15,38.55,6:2:2,12,12,"survey,2019",-1,
ASTGCN,GBA,21.4,17.65,33.61,6:2:2,12,12,"survey,2019",3,
ASTGCN,GBA,26.7,24.02,40.75,6:2:2,12,12,"survey,2019",6,
ASTGCN,GBA,33.64,31.15,51.21,6:2:2,12,12,"survey,2019",12,
ASTGCN,GBA,26.15,23.29,40.25,6:2:2,12,12,"survey,2019",-1,
DCRNN,GBA,18.25,14.37,29.73,6:2:2,12,12,"survey,2019",3,
DCRNN,GBA,22.25,19.82,35.04,6:2:2,12,12,"survey,2019",6,
DCRNN,GBA,28.68,28.69,44.39,6:2:2,12,12,"survey,2019",12,
DCRNN,GBA,22.35,20.15,35.26,6:2:2,12,12,"survey,2019",-1,
STGCN,GBA,20.62,15.84,33.81,6:2:2,12,12,"survey,2019",3,
STGCN,GBA,23.19,18.09,37.96,6:2:2,12,12,"survey,2019",6,
STGCN,GBA,26.53,21.77,43.88,6:2:2,12,12,"survey,2019",12,
STGCN,GBA,23.03,18.2,37.82,6:2:2,12,12,"survey,2019",-1,
DCRNN,CA,17.52,12.55,28.18,6:2:2,12,12,"survey,2019",3,
DCRNN,CA,21.72,16.56,34.19,6:2:2,12,12,"survey,2019",6,
DCRNN,CA,28.45,23.57,44.23,6:2:2,12,12,"survey,2019",12,
DCRNN,CA,21.81,16.92,34.35,6:2:2,12,12,"survey,2019",-1,
STGCN,CA,19.14,14.23,32.64,6:2:2,12,12,"survey,2019",3,
STGCN,CA,21.65,16.09,36.94,6:2:2,12,12,"survey,2019",6,
STGCN,CA,24.86,19.14,42.61,6:2:2,12,12,"survey,2019",12,
STGCN,CA,21.48,16.16,36.69,6:2:2,12,12,"survey,2019",-1,
